words,images,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,slider_valence.response,slider_arousal.response,slider_arousal.rt,group,participant,session,date,expName,psychopyVersion,frameRate,
bunny,None,0,0,0,0,None,52.0,2.562625674163428,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
afraid,None,0,1,1,1,30.0,50.0,1.0640404107798531,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
startled,None,0,2,2,2,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
statue,None,0,3,3,3,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
birthday,None,0,4,4,4,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
coward,None,0,5,5,5,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
cozy,None,0,6,6,6,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
table,None,0,7,7,7,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
divorce,None,0,8,8,8,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
python,None,0,9,9,9,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
dollar,None,0,10,10,10,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
impair,None,0,11,11,11,None,None,None,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
None,Pictures/1040.jpg,0,12,12,12,None,37.0,1.5473234209821385,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
None,Pictures/1050.jpg,0,13,13,13,74.0,36.0,0.8806064953387249,A,,001,2019_Jun_20_2028,SAM,3.0.6,60.36043676809001,
,,,,,,76.0,,,,,,,,,,
